condition,update_rule,seed,centralization,timestep,pairwise_consistency,overall_consistency,prototype_diversity
m2,conflict,2,0.21727478870336014,80,0.507,0.5276000000000001,0.07969836709092001
m2,conflict,2,0.21727478870336014,100,0.518,0.596,0.07000168338514384
m2,conflict,2,0.21727478870336014,120,0.5134000000000001,0.5792,0.06155700013026035
m2,conflict,2,0.21727478870336014,140,0.5808,0.6829999999999998,0.05739419754911413
m2,conflict,2,0.21727478870336014,160,0.5372000000000001,0.6242,0.05448831287601197
m2,conflict,2,0.21727478870336014,180,0.5243999999999999,0.6174,0.05377700337300803
m2,conflict,2,0.21727478870336014,200,0.5116,0.6026,0.05202471655960785
m2,ambiguous,0,0.19666048237476808,0,0.496,0.5334,0.29456274092017587
m2,ambiguous,0,0.19666048237476808,20,0.48339999999999994,0.5324,0.25439511253915614
m2,ambiguous,0,0.19666048237476808,40,0.505,0.534,0.22624843936437777
m2,ambiguous,0,0.19666048237476808,60,0.486,0.5312,0.20517194386783127
m2,ambiguous,0,0.19666048237476808,80,0.5072000000000001,0.5508000000000001,0.18764006705144073
m2,ambiguous,0,0.19666048237476808,100,0.4935999999999999,0.5539999999999999,0.17241599254632248
m2,ambiguous,0,0.19666048237476808,120,0.513,0.5870000000000001,0.15796461064612677
m2,ambiguous,0,0.19666048237476808,140,0.5472,0.6344,0.1450828489031328
m2,ambiguous,0,0.19666048237476808,160,0.5294,0.626,0.13424631904498446
m2,ambiguous,0,0.19666048237476808,180,0.5484,0.6464,0.12655196318930714
m2,ambiguous,0,0.19666048237476808,200,0.591,0.6961999999999999,0.11580971497481424
m2,ambiguous,1,0.21727478870336014,0,0.49559999999999993,0.54,0.2856771864045262
m2,ambiguous,1,0.21727478870336014,20,0.5084000000000001,0.555,0.2477854756947653
m2,ambiguous,1,0.21727478870336014,40,0.5072,0.5536,0.2183716966248037
m2,ambiguous,1,0.21727478870336014,60,0.49900000000000005,0.5788000000000001,0.19639892266845083
m2,ambiguous,1,0.21727478870336014,80,0.5095999999999999,0.5794,0.17856162885605653
m2,ambiguous,1,0.21727478870336014,100,0.514,0.6018,0.16490524397579526
m2,ambiguous,1,0.21727478870336014,120,0.5478000000000001,0.6267999999999998,0.14949798805596734
m2,ambiguous,1,0.21727478870336014,140,0.5472,0.6382,0.13876480238912414
m2,ambiguous,1,0.21727478870336014,160,0.5508,0.6442,0.13023441640313507
m2,ambiguous,1,0.21727478870336014,180,0.585,0.6938000000000001,0.11896570195778748
m2,ambiguous,1,0.21727478870336014,200,0.5976,0.6952000000000002,0.10998102814663661
m2,ambiguous,2,0.21727478870336014,0,0.504,0.5399999999999999,0.2888297287934778
m2,ambiguous,2,0.21727478870336014,20,0.5048,0.5616,0.24930633884042935
m2,ambiguous,2,0.21727478870336014,40,0.5078,0.5646,0.22505207474161262
m2,ambiguous,2,0.21727478870336014,60,0.5124,0.5898,0.20396243315486307
m2,ambiguous,2,0.21727478870336014,80,0.529,0.6214,0.19043306277501063
m2,ambiguous,2,0.21727478870336014,100,0.5352,0.6308,0.17682909440380656
m2,ambiguous,2,0.21727478870336014,120,0.539,0.6346,0.1660809180686143
m2,ambiguous,2,0.21727478870336014,140,0.5548,0.6552000000000001,0.15387718724601568
m2,ambiguous,2,0.21727478870336014,160,0.5698000000000001,0.6794,0.13942490864517273
m2,ambiguous,2,0.21727478870336014,180,0.6208,0.7198,0.12862244646755572
m2,ambiguous,2,0.21727478870336014,200,0.6338,0.738,0.12060588719613093
m5,unconditional,0,0.2628324056895485,0,0.496,0.5334,0.29456274092017587
m5,unconditional,0,0.2628324056895485,20,0.5396,0.6342,0.15621218549738367
m5,unconditional,0,0.2628324056895485,40,0.693,0.7942,0.10751879383039764
m5,unconditional,0,0.2628324056895485,60,0.8506,0.9014,0.08029252205487847
m5,unconditional,0,0.2628324056895485,80,0.9129999999999999,0.9504000000000002,0.06344517142833743
m5,unconditional,0,0.2628324056895485,100,0.9383999999999999,0.9621999999999999,0.05670689909383336
m5,unconditional,0,0.2628324056895485,120,0.9528,0.9688000000000001,0.05260293274443931
m5,unconditional,0,0.2628324056895485,140,0.9494000000000001,0.9693999999999999,0.048175513614820704
m5,unconditional,0,0.2628324056895485,160,0.949,0.9717999999999999,0.04975334943991292
m5,unconditional,0,0.2628324056895485,180,0.9606,0.9780000000000001,0.04484147117579132
m5,unconditional,0,0.2628324056895485,200,0.9553999999999999,0.9708,0.04916676848236781
m5,unconditional,1,0.2422180993609565,0,0.49559999999999993,0.54,0.2856771864045262
m5,unconditional,1,0.2422180993609565,20,0.5726,0.674,0.14927067951272388
